0000001	0001588	0000001.000000
0000002	0001523	0000048.176470
0000003	0001524	0000083.500000
0000004	0001525	0000171.941200
0000005	0001526	0000096.651380
0000006	0001527	0000168.270600
0000007	0001528	0000347.587200
0000008	0001523	0000001.000000
0000008	0001526	0000002.500000
0000008	0001529	0000001.000000
0000009	0001524	0000001.000000
0000009	0001527	0000002.500000
0000009	0001530	0000001.000000
0000010	0001525	0000001.000000
0000010	0001528	0000002.500000
0000010	0001531	0000001.000000
0000011	0001523	0000000.000033
0000011	0001526	0000000.000033
0000011	0001532	0000001.010455
0000012	0001524	0000000.000041
0000012	0001527	0000000.000041
0000012	0001533	0000001.005978
0000013	0001525	0000000.000085
0000013	0001528	0000000.000085
0000013	0001534	0000001.002885
0000014	0001535	0000001.000000
0000015	0001536	0000001.000000
0000016	0001537	0000001.000000
0000017	0001529	0000000.110697
0000017	0001530	0000000.089809
0000017	0001531	0000000.151737
0000017	0001535	0000000.181185
0000017	0001536	0000000.240024
0000017	0001537	0000000.226548
0000017	0001538	0000001.000000
0000017	0001588	0000003.850231
0000018	0001532	0000000.500000
0000018	0001533	0000000.300000
0000018	0001534	0000000.200000
0000018	0001539	0000001.000000
0000018	0001588	0000000.000085
0000019	0001538	0000001.000000
0000019	0001540	0000005.298339
0000020	0001539	0316220.000000
0000020	0001541	0001080.859000
0000021	0001540	0000000.002453
0000021	0001541	0000000.205021
0000021	0001542	0000000.144192
0000022	0001542	0000063.059860
0000022	0001543	0018449.020000
0000023	0001539	0012323.690000
0000023	0001544	0000001.000000
0000024	0001539	0000001.000000
0000024	0001543	0000000.845334
0000024	0001545	0000000.000100
0000025	0001506	0000001.000000
0000026	0001507	0000001.000000
0000026	0001555	0000002.540468
0000027	0001508	0000001.000000
0000028	0001509	0000130.000000
0000029	0001509	0000002.433767
0000029	0001510	0000001.000000
0000030	0001510	0000001.614091
0000030	0001511	0000001.614091
0000030	0001538	0000001.500000
0000030	0001539	0035226.800000
0000030	0001542	0000000.115930
0000030	0001544	0000000.202049
0000030	0001545	0000002.448339
0000031	0001506	0000000.037648
0000031	0001507	0000000.024523
0000031	0001508	0000000.036613
0000031	0001511	0000000.218732
0000031	0001586	0000001.000000
0000031	0001588	0000002.015910
0000032	0001512	0000001.138352
0000033	0001513	0000000.500000
0000034	0001514	0000000.361192
0000035	0001515	0000000.321888
0000035	0001588	0000001.000000
0000036	0001516	0000000.436242
0000037	0001516	0000000.768042
0000037	0001517	0000001.000000
0000038	0001516	0000000.143028
0000038	0001518	0000001.000000
0000039	0001516	0000000.159389
0000039	0001519	0000001.000000
